deal,opp_id,ok,win,mom,eng
Careem,006P700000XRn05,True,22.0,20.0,10.10
Definitive Healthcare,006P700000YkO71,True,11.0,16.0,10.10
Port Authority of NSW,006P700000YlMxa,True,26.0,48.0,10.10
Desert Financial Credit Unio,006P700000ZB4KH,True,14.0,32.0,10.10
PremiStar,006P700000aFyTm,True,16.0,36.0,10.10
KPJ Healthcare Berhad,006P700000URsB7,True,15.0,18.0,10.10
Los Angeles County Metropoli,006P700000VLl6w,True,10.0,6.0,10.10
GRAB,006P700000X51uv,True,10.0,5.0,10.10
Welltower Inc.,006P700000XPtCn,True,15.0,10.0,10.10
FrieslandCampina,006P700000F4T4P,True,12.0,5.0,10.10
Jackson Lewis PC,006P700000SKCA6,True,10.0,5.0,10.10
ITT INC,006P700000Y0Ep0,True,14.0,12.0,10.10
Chase Cost Management,006P700000YX3jX,True,12.0,22.0,10.10
Link,006P700000U6XUf,True,8.0,8.0,10.10
"IDEXX Laboratories, Inc.",006P700000VmtGT,True,10.0,8.0,10.10
Aerotech,006P700000Y3hxi,True,12.0,8.0,10.10
The Lubrizol Corporation,006P700000Zj63W,True,12.0,30.0,10.10
Viaero Wireless,006P700000Y98PN,True,16.0,18.0,10.10
The Magnum Ice Cream Company,006P700000Ypcqr,True,14.0,11.0,10.10
Eversana,006P700000I1x25,True,7.0,3.0,10.10
"United Airlines, Inc",006P700000LTSkn,True,12.0,15.0,10.10
Meta Platforms,006P700000Qqws9,True,12.0,22.0,10.10
Alcoa Corporation,006P700000VspyB,True,14.0,27.0,10.10
Greencore Group,006P700000WeRX8,True,28.0,27.0,10.10
Raiffeisen,006P700000XzDVB,True,30.0,52.0,10.10
Universal Robina Corporation,006P7000002Fz0Q,True,13.0,37.0,10.10
Hollard,006P700000GNtCJ,True,27.0,9.0,10.10
World Bank Group,006P700000Gnimf,True,12.0,10.0,10.10
"Etsy, Inc",006P700000OkmyJ,True,14.0,9.0,10.10
JG Summit Holdings Inc,006P700000SpM9h,True,10.0,6.0,10.10
FAR EAST ORGANISATION PTE. L,0066700000zriZG,True,20.0,26.0,10.10
Edgewell Personal Care,006P700000UNvXR,True,15.0,22.0,10.10
Urban Utilities,006P700000OJGBK,True,12.0,16.0,10.10
Travel + Leisure,006P700000PqJMk,True,10.0,8.0,10.10
Louisiana Department Of Tran,006P700000TCnnR,True,10.0,30.0,10.10
Sasol Limited,006P700000Yqf3X,True,12.0,18.0,10.10
"Jazz Pharmaceuticals, Inc",006P700000ZBAXo,True,16.0,18.0,10.10
"Marmon Holdings, Inc",006P700000WQn5t,True,13.0,8.0,10.10
First Horizon Bank,006P700000ZguJN,True,20.0,18.0,10.10
jeld-wen,006P700000ZR7MD,True,24.0,48.0,10.10
JPMorgan Chase & Co,006P700000NVEpR,True,14.0,20.0,10.10
Florida A&M University,006P700000VP3Tu,True,14.0,9.0,10.10
Howard Hughes Medical Instit,006P700000WEcMO,True,8.0,5.0,10.10
"McCormick & Company, Inc",006P700000WEf5i,True,10.0,12.0,10.10
"KWSP, EPF",006P700000Wkphs,True,22.0,30.0,10.10
Boustead Holdings Berhad,006P700000SHPJe,True,8.0,8.0,10.10
Alkermes Inc,006P700000XzzOa,True,15.0,10.0,10.10
International SOS,006P700000YJlu7,True,20.0,23.0,10.10
SATS Ltd,006P700000Ltf02,True,28.0,40.0,10.10
The Australian National Univ,006P700000TT6kT,True,27.0,37.0,10.10
HEIFER PROJECT INTERNATIONAL,006P700000VV9pz,True,12.0,12.0,10.10
Galp Energia,006P700000AfJyb,True,8.0,16.0,10.10
The Kraft Heinz Company,006P700000T8qdZ,True,10.0,18.0,10.10
Estremar,006P700000XCmlu,True,12.0,14.0,10.10
"Monroe Energy, LLC",006P700000YCK7R,True,10.0,20.0,10.10
STANDARD CHARTERED BANK,006P700000VgfD1,True,28.0,24.0,10.10
Ipsen Pharma,006P700000XIzIA,True,14.0,10.0,10.10
The Ministry of Finance,006P700000OXpig,True,10.0,9.0,10.10
Greater Orlando Aviation Aut,006P700000Ze1aj,True,20.0,40.0,10.10
Vestacy,006P700000ZfllF,True,27.0,46.0,10.10
BerQ RNG,006P700000UGnOT,True,10.0,5.0,10.10
Saverglass Group,006P700000VpGKR,True,16.0,15.0,10.10
Allegiant Travel Company,006P700000RFjmx,True,11.0,14.0,10.10
Hunter Engineering Co,006P700000VpoNV,True,14.0,10.0,10.10
Fresh Direct Holdings Inc,006P700000YMOks,True,12.0,15.0,10.10
Moore,006P700000YV6To,True,30.0,58.0,10.10
Twin Cities Orthopedics PA,006P700000WgjhS,True,15.0,29.0,10.10
VIA Metropolitan Transit,006P700000Wqst7,True,12.0,10.0,10.10
Veolia Water Technologies,006P700000YPDo6,True,15.0,33.0,10.10
Fulton Bank,006P700000MHKs5,True,10.0,4.0,10.10
IC Hotels,006P700000U0zS6,True,12.0,6.0,10.10
Bank Rakyat,006P700000YK67N,True,16.0,30.0,10.10
AGL Energy Ltd,006P700000YNj7L,True,25.0,38.0,10.10
HONDA OF THE U.K. MANUFACTUR,006P700000LQ5ch,True,10.0,8.0,10.10
Masdar,006P700000HgY1u,True,28.0,10.0,10.10
VetPartners Australia Pty Lt,006P700000QNBwg,True,12.0,20.0,10.10
Metso Oyj,006P700000Xq42w,True,12.0,15.0,10.10
Tekni-Plex Inc,006P700000XQiYi,True,15.0,20.0,10.10
Allianz Partners,006P700000YpFvt,True,12.0,19.0,10.10
